filename,subject,session,task,echo,datatype,extension,size_MB
sub-17_ses-04_task-hand_echo-2_sbref.json,sub-17,ses-04,hand,2,sbref.json,.json,0.0
sub-04_ses-02_task-hand_echo-4_bold.json,sub-04,ses-02,hand,4,bold.json,.json,0.0
sub-24_ses-02_task-hand_echo-2_sbref.json,sub-24,ses-02,hand,2,sbref.json,.json,0.0
sub-22_ses-04_task-hand_echo-5_phasediff.nii.gz,sub-22,ses-04,hand,5,phasediff.nii.gz,.nii.gz,0.58
sub-21_ses-01_task-hand_echo-2_phasediff.nii.gz,sub-21,ses-01,hand,2,phasediff.nii.gz,.nii.gz,0.62
sub-25_ses-02_task-hand_echo-5_sbref.nii.gz,sub-25,ses-02,hand,5,sbref.nii.gz,.nii.gz,0.53
sub-19_ses-01_task-hand_echo-4_bold.nii.gz,sub-19,ses-01,hand,4,bold.nii.gz,.nii.gz,144.15
sub-09_ses-03_task-hand_echo-3_bold.nii.gz,sub-09,ses-03,hand,3,bold.nii.gz,.nii.gz,142.88
sub-10_ses-04_task-hand_echo-4_phasediff.nii.gz,sub-10,ses-04,hand,4,phasediff.nii.gz,.nii.gz,0.57
sub-18_ses-03_task-hand_echo-4_phasediff.json,sub-18,ses-03,hand,4,phasediff.json,.json,0.0
sub-22_ses-04_task-hand_echo-2_bold.json,sub-22,ses-04,hand,2,bold.json,.json,0.0
sub-12_ses-01_task-hand_echo-1_sbref.json,sub-12,ses-01,hand,1,sbref.json,.json,0.0
sub-26_ses-02_task-hand_echo-1_sbref.nii.gz,sub-26,ses-02,hand,1,sbref.nii.gz,.nii.gz,0.65
sub-20_ses-03_task-hand_echo-2_bold.json,sub-20,ses-03,hand,2,bold.json,.json,0.0
sub-18_ses-04_task-hand_echo-2_sbref.nii.gz,sub-18,ses-04,hand,2,sbref.nii.gz,.nii.gz,0.59
sub-19_ses-02_task-hand_echo-2_phasediff.json,sub-19,ses-02,hand,2,phasediff.json,.json,0.0
sub-24_ses-02_task-hand_echo-4_sbref.nii.gz,sub-24,ses-02,hand,4,sbref.nii.gz,.nii.gz,0.59
sub-20_ses-01_task-hand_echo-2_phasediff.json,sub-20,ses-01,hand,2,phasediff.json,.json,0.0
sub-23_ses-02_task-hand_echo-3_sbref.nii.gz,sub-23,ses-02,hand,3,sbref.nii.gz,.nii.gz,0.56
sub-05_ses-01_task-hand_echo-5_phasediff.json,sub-05,ses-01,hand,5,phasediff.json,.json,0.0
